,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels,Latitude,Longitude
126,"8406, Winterthur",Bus Station,Australian Restaurant,Tea Room,Convenience Store,Supermarket,Auto Workshop,Hardware Store,Rental Car Location,Roof Deck,Record Shop,3,47.4832,8.7006
127,"8408, Winterthur",Gas Station,Italian Restaurant,River,Bus Stop,Supermarket,Train Station,Plaza,Pool,Ethiopian Restaurant,English Restaurant,6,47.5077,8.6833
128,"8409, Winterthur",Food & Drink Shop,Bowling Alley,Sporting Goods Shop,Electronics Store,Supermarket,Zoo,Event Space,Donut Shop,Eastern European Restaurant,English Restaurant,1,47.5098,8.7814
129,"8482, Winterthur",Food & Drink Shop,Music Venue,River,Train Station,Zoo,English Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,6,47.4674,8.758
130,"9000, St. Gallen",Bar,Swiss Restaurant,Music Venue,Restaurant,Café,Nightclub,Coffee Shop,Hotel,Gym / Fitness Center,Burger Joint,6,47.4236,9.3622
131,"9001, St. Gallen",Train Station,Farmers Market,Pet Store,Print Shop,Bus Station,Supermarket,Rental Car Location,Zoo,Dog Run,Doner Restaurant,3,47.4667,9.4
132,"9008, St. Gallen",Supermarket,Zoo,Swiss Restaurant,Bakery,Gas Station,Gym,Gym / Fitness Center,Italian Restaurant,Hotel,Vegetarian / Vegan Restaurant,6,47.4418,9.3918
133,"9010, St. Gallen",Hotel,Pool,Event Space,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Ethiopian Restaurant,8,47.4422,9.3717
134,"9011, St. Gallen",Scenic Lookout,Pizza Place,Bus Line,Zoo,Ethiopian Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,3,47.4148,9.3999
135,"9012, St. Gallen",Bus Stop,Gym / Fitness Center,Gas Station,Zoo,English Restaurant,Doner Restaurant,Donut Shop,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,6,47.4103,9.3617
136,"9014, St. Gallen",Bus Stop,Supermarket,Train Station,Grocery Store,Skating Rink,Hotel,Lounge,Music Venue,Other Great Outdoors,Record Shop,6,47.4091,9.3355
137,"9015, St. Gallen",Furniture / Home Store,Train Station,Soccer Stadium,Shopping Mall,Hotel,Electronics Store,Sandwich Place,Supermarket,Swiss Restaurant,Bus Stop,6,47.4056,9.3093
138,"9016, St. Gallen",Supermarket,Pool,Grocery Store,Bus Station,Garden,Bakery,Restaurant,German Restaurant,Coworking Space,Dog Run,1,47.4415,9.4141
